"Year"|"Company"|"Old FV"|"New FV"|"Split Date"
"2006"|"EPL"|"10"|"2"|"08-06-2006"
"2006"|"Cholamandalam"|"10"|"2"|"31-05-2006"
"2006"|"Monozyme"|"10"|"5"|"30-05-2006"
"2006"|"Grindwell Norto"|"10"|"5"|"26-05-2006"
"2006"|"National Perox"|"100"|"10"|"26-05-2006"
"2006"|"Hind Dorr-Olive"|"10"|"2"|"26-05-2006"
"2006"|"Ansal Propertie"|"10"|"5"|"10-05-2006"
"2006"|"Sterlite Ind"|"5"|"2"|"05-05-2006"
"2006"|"Mah Seamless"|"10"|"5"|"18-04-2006"
"2006"|"AshirwadCapital"|"10"|"1"|"03-04-2006"
"2006"|"Thermax"|"10"|"2"|"31-03-2006"
"2006"|"Harig Crankshaf"|"10"|"1"|"29-03-2006"
"2006"|"IVRCL"|"10"|"2"|"29-03-2006"
"2006"|"Ashapura Mine"|"10"|"2"|"23-03-2006"
"2006"|"Commex Tech"|"10"|"2"|"21-03-2006"
"2006"|"Gati"|"10"|"2"|"21-03-2006"
"2006"|"Jubilant Life"|"5"|"1"|"17-03-2006"
"2006"|"Supertex Ind"|"10"|"1"|"08-03-2006"
"2006"|"KCP Sugar"|"10"|"1"|"08-03-2006"
"2006"|"Chemplast Sanma"|"10"|"1"|"08-03-2006"
"2006"|"Jaybharat Text"|"10"|"5"|"03-03-2006"
"2006"|"Vimta Labs"|"10"|"2"|"24-02-2006"
"2006"|"Torrent Pharma"|"10"|"5"|"20-02-2006"
"2006"|"VIP Clothing"|"10"|"2"|"16-02-2006"
"2006"|"Religare Tech"|"10"|"5"|"15-02-2006"
"2006"|"Lincoln Pharma"|"10"|"2"|"08-02-2006"
"2006"|"Donear Ind"|"10"|"2"|"27-01-2006"
"2006"|"Aarti Ind"|"10"|"5"|"13-01-2006"
"2006"|"Netlink Sol"|"10"|"1"|"13-01-2006"
"2006"|"Action Financia"|"10"|"1"|"10-01-2006"
"2006"|"Guj Amb Exports"|"10"|"2"|"06-01-2006"
"2006"|"Radico Khaitan"|"10"|"2"|"06-01-2006"
"2006"|"Antarctica"|"10"|"1"|"06-01-2006"
"2006"|"Prime Property"|"10"|"5"|"02-01-2006"
"2006"|"Coromandel Int"|"10"|"2"|"02-01-2006"
"2007"|"Kanoria Chem"|"10"|"5"|"31-12-2007"
"2007"|"Jaiprakash Asso"|"10"|"2"|"17-12-2007"
"2007"|"Kriti Ind"|"10"|"1"|"13-12-2007"
"2007"|"Chandni Textile"|"1"|"10"|"30-11-2007"
"2007"|"Lancor Holdings"|"10"|"2"|"26-11-2007"
"2007"|"Banco Products"|"10"|"2"|"23-11-2007"
"2007"|"Subros"|"10"|"2"|"20-11-2007"
"2007"|"Zigma Software"|"1"|"10"|"19-11-2007"
"2007"|"Guj Mineral"|"10"|"2"|"08-11-2007"
"2007"|"Vipul"|"10"|"2"|"29-10-2007"
"2007"|"Ruchi Soya"|"10"|"2"|"29-10-2007"
"2007"|"GOCL Corp"|"10"|"2"|"26-10-2007"
